uuid,Acanthamoeba.polyphaga.mimivirus,Acaryochloris.marina,Acetoanaerobium.sticklandii,Acetobacter.aceti,Acetobacter.pasteurianus,Acetobacter.persici,Acetobacter.pomorum,Acetobacter.senegalensis,Acetobacter.sp..SLV.7,Acetobacter.tropicalis,Acetobacterium.woodii,Acetomicrobium.mobile,Acholeplasma.brassicae,Acholeplasma.laidlawii,Acholeplasma.oculi,Acholeplasma.palmae,Achromobacter.denitrificans,Achromobacter.insolitus,Achromobacter.phage.phiAxp.3,Achromobacter.sp..AONIH1,Achromobacter.spanius,Achromobacter.xylosoxidans,Acidaminococcus.fermentans,Acidaminococcus.intestini,Acidihalobacter.prosperus,Acidimicrobium.ferrooxidans,Acidiphilium.cryptum,Acidiphilium.multivorum
haib17CEM4890_H2NYMCCXY_SL254779,0,0,1.00E-05,2.00E-05,3.00E-05,0,0,0,0,0,0,0,0,0,0,0,0.00015,9.00E-05,0,0.00015,5.00E-05,0.00032,7.00E-05,0,2.00E-05,0,3.00E-05,2.00E-05
haib17CEM4890_H2NYMCCXY_SL254780,0,0,0,0,8.00E-05,0,0,0,0,0,0,0,0,0,0,0,0.00059,0.00018,0,5.00E-04,0.00021,0.00128,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254781,0,0,0.00012,0,0,0,0,0,0,0,0,0,3.00E-05,0,1.00E-05,0,9.00E-05,4.00E-05,0,5.00E-05,4.00E-05,0.00023,0,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254782,0,0,9.00E-05,0,1.00E-05,0,0,0,0,0,1.00E-05,0,0,0,0,0,2.00E-05,1.00E-05,0,3.00E-05,2.00E-05,6.00E-05,0,0,2.00E-05,0,0,0
haib17CEM4890_H2NYMCCXY_SL254783,0,0,8.00E-05,0,0,0,0,0,0,0,2.00E-05,0,8.00E-05,0,0,0,0.00124,0.00085,0,0.00074,0.00122,0.0027,0,0,2.00E-05,0,2.00E-05,0
haib17CEM4890_H2NYMCCXY_SL254784,0,0,2.00E-04,0,0,0,0,0,0,0,0.00016,0,1.00E-04,4.00E-05,0,0,6.00E-05,0,0,2.00E-05,8.00E-05,9.00E-05,3.00E-05,0,0,0,0,0
haib17CEM4890_H2NYMCCXY_SL254785,0,0,7.00E-05,2.00E-05,0.00011,4.00E-05,0,0,0,0,0,0,0,0,0,0,3.00E-04,0.00015,0,0.00033,0.00021,0.00081,0,1.00E-05,8.00E-05,4.00E-05,3.00E-05,2.00E-05
haib17CEM4890_H2NYMCCXY_SL254786,0,0,1.00E-05,0,3.00E-05,2.00E-05,0,1.00E-05,0,0,0,0,0,0,0,0,0.00018,0.00011,0,0.00012,0.00019,0.00049,0,0,5.00E-05,4.00E-05,3.00E-05,5.00E-05
haib17CEM4890_H2NYMCCXY_SL254787,0,0,3.00E-05,3.00E-05,8.00E-05,4.00E-05,0,3.00E-05,0,2.00E-05,0,0,0,0,0,0,0.00032,0.00017,0,0.00041,0.00027,0.00109,0,3.00E-05,0.00011,2.00E-05,1.00E-05,9.00E-05
haib17CEM4890_H2NYMCCXY_SL254788,0,0,4.00E-05,1.00E-05,5.00E-05,2.00E-05,0,1.00E-05,0,1.00E-05,0,0,1.00E-05,0,1.00E-05,0,0.00034,0.00024,0,0.00041,2.00E-04,0.00119,2.00E-05,2.00E-05,5.00E-05,5.00E-05,2.00E-05,4.00E-05
